FoodId,FoodTagId
1,3
1,7
1,8
1,11
2,7
2,8
2,14
3,7
3,8
3,10
3,14
3,15
4,3
4,7
4,8
4,14
5,7
5,8
5,14
6,7
6,8
6,13
7,7
7,8
7,11
8,7
8,8
8,14
9,7
9,8
9,14
10,7
10,8
10,14
11,3
11,7
11,8
11,10
11,14
11,15
12,3
12,7
12,8
12,11
12,12
13,3
13,7
13,8
13,12
14,3
14,7
14,8
15,7
15,8
15,14
16,7
16,8
16,14
17,7
17,8
17,14
18,7
18,8
18,12
19,3
19,7
19,8
19,12
20,7
20,8
20,12
21,3
21,7
21,8
21,12
22,3
22,7
22,8
22,12
23,1
23,8
23,12
24,7
24,8
24,14
25,3
25,7
25,8
25,10
25,14
25,15
26,7
26,8
26,14
27,3
27,7
27,8
27,10
27,11
27,15
28,3
28,7
28,8
28,10
28,15
29,3
29,7
29,8
29,13
30,3
30,7
30,8
30,14
31,3
31,7
31,8
31,14
32,3
32,7
32,8
33,3
33,7
33,8
34,3
34,7
34,8
34,10
34,12
34,14
34,15
35,3
35,7
35,8
35,12
35,14
36,3
36,7
36,8
36,12
37,3
37,7
37,8
37,12
38,3
38,7
38,8
38,14
39,1
39,3
39,8
39,14
40,3
40,7
40,8
40,14
41,3
41,7
41,8
41,14
42,3
42,7
42,8
42,14
43,3
43,7
43,8
43,14
44,3
44,7
44,8
44,14
45,3
45,7
45,8
45,14
46,3
46,7
46,8
46,14
47,3
47,7
47,8
47,14
48,1
48,3
48,8
48,14
49,3
49,7
49,8
49,12
50,3
50,7
50,8
50,12
51,3
51,7
51,8
51,10
51,12
51,14
51,15
52,3
52,7
52,8
52,10
52,15
53,3
53,7
53,8
53,12
53,14
54,3
54,7
54,8
54,12
54,14
55,3
55,7
55,8
55,12
55,14
56,3
56,7
56,8
56,14
57,3
57,7
57,8
58,3
58,7
58,8
59,3
59,7
59,8
60,3
60,7
60,8
60,12
61,3
61,7
61,8
61,12
62,3
62,7
62,8
63,3
63,7
63,8
64,3
64,7
64,8
64,14
65,3
65,7
65,8
65,10
65,14
65,15
66,2
66,3
66,8
66,14
67,2
67,3
67,8
68,3
68,7
68,8
68,12
68,14
69,3
69,7
69,8
69,14
70,7
70,8
70,11
70,12
70,14
71,7
71,8
71,11
71,12
72,7
72,8
72,12
72,13
73,7
73,8
73,12
73,13
74,7
74,8
74,13
75,7
75,8
75,14
76,7
76,8
77,1
77,7
77,8
77,13
78,2
78,7
78,8
79,7
79,8
80,7
80,8
80,10
80,11
80,12
80,15
81,7
81,8
81,10
81,12
81,15
82,7
82,8
82,12
83,7
83,8
83,10
83,11
83,15
84,7
84,8
84,10
84,11
84,15
85,7
85,8
86,7
86,8
86,12
87,7
87,8
87,10
87,11
87,14
87,15
88,7
88,8
88,10
88,11
88,14
88,15
89,7
89,8
90,7
90,8
90,10
90,11
90,14
90,15
91,7
91,8
91,10
91,11
91,15
92,7
92,8
93,7
93,8
93,10
93,12
93,14
93,15
94,7
94,8
94,10
94,11
94,15
95,7
95,8
96,7
96,8
96,10
96,15
97,7
97,8
98,7
98,8
98,11
98,14
99,7
99,8
99,11
99,12
100,7
100,8
100,11
101,6
101,7
101,8
101,10
101,11
101,14
102,6
102,7
102,8
102,14
103,4
103,7
103,8
103,10
103,14
104,4
104,7
104,8
104,10
104,11
104,14
105,4
105,7
105,8
105,10
105,11
105,14
106,4
106,7
106,8
106,10
106,14
107,4
107,7
107,8
107,10
107,14
108,4
108,7
108,8
108,10
108,14
109,7
109,8
109,10
109,11
109,14
110,7
110,8
110,10
110,11
110,14
111,1
111,7
111,8
111,10
111,11
111,14
112,4
112,7
112,8
112,10
112,14
113,7
113,8
113,10
113,11
113,14
114,7
114,8
114,13
115,7
115,8
115,13
116,7
116,8
116,13
117,7
117,8
117,13
118,7
118,8
118,13
119,7
119,8
119,13
120,7
120,8
120,10
120,13
120,15
121,7
121,8
121,10
121,13
121,15
122,7
122,8
122,13
123,7
123,8
123,9
123,13
124,7
124,8
124,13
125,7
125,8
125,9
125,13
126,7
126,8
126,13
127,7
127,8
127,9
127,13
128,7
128,8
128,13
129,7
129,8
129,9
129,13
130,7
130,8
131,7
131,8
131,9
131,13
132,7
132,8
132,9
132,10
132,13
132,15
133,7
133,8
133,13
134,7
134,8
134,9
134,13
135,7
135,8
135,9
135,13
136,7
136,8
136,9
136,13
137,2
137,7
137,8
137,9
137,13
138,2
138,7
138,8
138,9
138,13
139,2
139,7
139,8
139,9
139,13
140,2
140,7
140,8
140,9
141,7
141,8
141,13
142,7
142,8
142,13
143,7
143,8
143,9
143,13
144,7
144,8
145,7
145,8
145,12
145,13
146,7
146,8
146,10
146,11
146,12
146,13
146,15
147,7
147,8
147,10
147,12
147,13
147,15
148,7
148,8
148,9
148,10
148,13
148,15
149,7
149,8
149,9
149,13
150,7
150,8
150,9
150,13
151,7
151,8
151,10
151,12
151,13
151,15
152,7
152,8
152,13
153,7
153,8
153,13
154,7
154,8
154,9
154,10
154,13
154,15
155,7
155,8
155,13
156,7
156,8
156,13
157,7
157,8
158,7
158,8
158,9
158,13
159,7
159,8
159,13
160,7
160,8
160,13
161,7
161,8
161,13
162,7
162,8
162,13
163,7
163,8
163,13
164,7
164,8
164,9
164,13
165,7
165,8
165,9
165,13
166,7
166,8
166,13
167,7
167,8
167,13
168,7
168,8
168,9
168,13
169,7
169,8
169,9
169,13
170,7
170,8
170,9
170,13
171,7
171,8
171,9
171,13
172,7
172,8
172,9
172,10
172,13
172,15
173,7
173,8
173,9
173,13
174,7
174,8
174,9
174,13
175,7
175,8
175,9
175,13
176,7
176,8
176,9
176,13
177,7
177,8
178,7
178,8
178,13
179,7
179,8
179,13
180,7
180,8
180,9
180,13
181,7
181,8
181,13
182,7
182,8
182,13
183,7
183,8
183,11
184,7
184,8
185,7
185,8
185,13
186,7
186,8
186,13
187,7
187,8
187,13
188,7
188,8
189,7
189,8
190,7
190,8
190,13
191,7
191,8
191,11
192,7
192,8
192,13
193,7
193,8
193,13
194,7
194,8
194,11
194,13
195,7
195,8
195,13
196,7
196,8
196,13
197,7
197,8
197,13
198,7
198,8
198,13
199,7
199,8
199,13
200,7
200,8
200,13
201,7
201,8
201,13
202,7
202,8
202,13
203,7
203,8
203,13
204,7
204,8
204,13
205,7
205,8
205,13
206,7
206,8
206,13
207,7
207,8
207,13
208,7
208,8
208,13
209,7
209,8
209,13
210,7
210,8
210,13
211,7
211,8
211,13
212,7
212,8
212,13
213,7
213,8
213,13
214,7
214,8
214,9
214,11
214,13
215,7
215,8
216,7
216,8
217,7
217,8
217,13
218,7
218,8
218,13
219,7
219,8
219,13
220,7
220,8
220,13
221,7
221,8
221,14
222,8
222,14
223,7
223,8
223,14
224,14
225,7
225,8
225,14
226,7
226,8
226,14
227,4
227,8
227,14
228,7
228,8
228,14
229,8
229,14
230,7
230,8
231,1
231,8
231,14
232,4
232,8
232,14
233,7
233,8
233,14
234,4
234,8
234,14
235,7
235,8
236,7
236,8
236,12
236,14
237,4
237,7
237,8
237,10
237,12
237,14
238,8
239,7
239,8
240,14
241,7
241,8
242,7
242,8
242,14
243,7
243,8
243,14
244,7
244,8
244,14
245,1
245,8
245,14
246,10
246,12
246,15
247,10
247,12
247,13
247,15
248,9
248,12
249,10
249,12
249,15
250,9
250,10
250,14
251,9
251,10
252,10
252,14
252,15
253,9
253,10
253,12
253,15
254,9
254,10
254,12
255,9
255,10
255,12
255,15
256,9
256,10
256,12
256,15
257,9
257,10
257,15
258,9
258,10
258,12
258,15
259,10
259,15
260,9
260,10
260,12
260,13
260,15
261,9
261,10
261,15
262,9
262,10
263,12
264,9
264,10
264,15
265,9
265,10
265,15
266,10
266,14
267,10
268,9
268,10
268,12
268,13
268,15
269,9
269,10
269,12
269,15
270,9
270,10
270,12
270,14
271,9
271,10
271,15
272,10
272,15
273,9
273,10
273,15
274,9
274,10
274,15
275,9
275,10
275,15
276,9
276,10
276,15
277,10
277,15
278,9
278,10
278,15
279,10
279,14
280,9
280,10
280,15
281,9
281,10
281,15
282,9
282,10
282,15
283,9
283,10
284,9
284,10
284,14
285,9
285,10
285,15
286,9
286,10
286,14
287,9
287,10
287,12
287,15
288,10
288,12
288,15
289,9
289,10
289,14
290,9
290,10
291,9
291,10
291,14
292,9
292,10
292,15
293,10
293,15
294,9
294,10
294,15
295,9
295,10
295,15
296,9
296,10
296,15
297,2
297,8
297,9
297,10
297,15
298,2
298,8
298,9
298,10
298,13
298,15
299,2
299,8
299,9
299,10
299,14
300,2
300,8
300,9
300,10
300,15
301,5
301,9
301,10
301,13
301,15
302,5
302,9
302,10
302,13
302,15
303,5
303,9
303,10
303,15
304,5
304,9
304,10
304,13
304,15
305,5
305,9
305,10
305,15
306,5
306,9
306,10
306,15
307,5
307,9
307,10
307,13
307,15
308,5
308,9
308,10
308,15
309,3
309,5
309,10
309,15
310,5
310,9
310,10
310,15
311,5
311,9
311,10
311,13
311,15
312,5
312,10
312,15
313,5
313,9
313,10
313,15
314,5
314,9
314,10
314,15
315,5
315,9
315,10
315,15
316,5
316,9
316,10
316,12
316,15
317,5
317,9
317,10
317,15
318,5
318,9
318,10
319,5
319,9
319,10
319,15
320,5
320,9
320,10
320,15
321,5
321,9
321,10
321,13
321,15
322,5
322,9
322,10
322,15
323,5
323,9
323,10
323,13
323,15
324,5
324,10
325,5
325,9
325,10
325,13
325,15
326,5
326,9
326,10
326,15
327,5
327,9
327,10
327,15
328,5
328,9
328,10
329,1
329,8
329,9
329,14
330,1
330,8
330,9
330,14
331,1
331,8
331,9
331,10
331,14
332,1
332,8
332,9
332,10
332,14
333,1
333,8
333,9
333,10
333,14
334,1
334,8
334,9
334,10
334,12
334,13
334,15
335,1
335,8
335,9
335,10
335,12
335,13
335,15
336,1
336,8
336,9
336,10
336,12
336,13
336,15
337,1
337,8
337,9
337,10
338,1
338,8
338,9
338,10
338,14
339,1
339,8
339,10
339,14
340,1
340,8
340,9
340,10
340,14
341,1
341,8
341,9
341,10
342,1
342,8
342,9
342,10
342,15
343,1
343,8
343,9
343,10
343,14
344,1
344,8
344,9
344,14
345,1
345,8
345,9
345,13
346,1
346,8
346,9
346,10
346,13
346,15
347,1
347,8
348,1
348,8
348,9
348,13
349,1
349,8
349,13
350,1
350,8
350,9
350,13
351,1
351,8
351,13
352,1
352,8
352,13
353,1
353,8
353,13
354,1
354,8
354,10
354,14
354,15
355,1
355,8
355,10
355,14
356,1
356,8
356,13
357,1
357,8
357,13
358,1
358,8
358,13
359,3
359,9
359,13
360,3
360,13
361,13
362,9
362,13
363,13
364,1
364,8
364,14
365,10
365,14
365,15
366,14
367,14
368,13
369,13
370,13
371,13
372,13
373,13
374,13
375,13
376,13
377,13
378,13
379,13
380,13
381,13
382,7
382,8
383,7
383,8
383,10
384,7
384,8
385,7
385,8
385,14
386,7
386,8
386,10
386,15
387,7
387,8
387,10
387,15
388,7
388,8
389,14
390,7
390,8
390,10
390,14
391,7
391,8
391,12
392,10
392,15
393,1
393,3
393,8
393,10
393,12
393,14
393,15
394,2
394,8
394,14
395,7
395,8
395,14
396,8
396,14
397,7
397,8
398,7
398,8
399,7
399,8
399,11
400,7
400,8
400,10
400,15
401,7
401,8
401,10
401,14
401,15
402,7
402,8
402,10
402,14
403,7
403,8
404,7
404,8
405,7
405,8
406,7
406,8
407,7
407,8
407,10
407,15
408,7
408,8
409,7
409,8
409,10
409,15
410,7
410,8
410,10
