FoodId,Unit,GramsPerUnit,IsDefault
1,Gram,1,false
1,Cup,200,true
2,Gram,1,false
2,Cup,166,true
3,Gram,1,false
3,Cup,166,true
4,Gram,1,false
4,Cup,28,true
5,Gram,1,true
5,Tablespoon,8,false
5,Teaspoon,3,false
6,Gram,1,false
6,Cup,165,true
7,Gram,1,false
7,Piece,90,true
8,Gram,1,false
8,Cup,8,true
9,Gram,1,false
9,Cup,15,true
10,Gram,1,true
10,Tablespoon,8,false
10,Teaspoon,3,false
11,Gram,1,false
11,Cup,100,true
12,Gram,1,false
12,Cup,220,true
13,Gram,1,false
13,Cup,225,true
14,Gram,1,false
14,Cup,160,true
15,Gram,1,false
15,Cup,185,true
16,Gram,1,false
16,Cup,195,true
17,Gram,1,true
17,Tablespoon,8,false
17,Teaspoon,3,false
18,Gram,1,false
18,Cup,175,true
19,Gram,1,false
19,Cup,175,true
20,Gram,1,false
20,Cup,175,true
21,Gram,1,false
21,Cup,200,true
22,Gram,1,false
22,Cup,200,true
23,Gram,1,false
23,Cup,245,true
24,Gram,1,false
24,Cup,30,true
25,Gram,1,false
25,Cup,167,true
26,Gram,1,false
26,Cup,192,true
27,Gram,1,false
27,Cup,60,true
28,Gram,1,false
28,Cup,192,true
29,Gram,1,false
29,Cup,170,true
30,Gram,1,true
30,Tablespoon,8,false
30,Teaspoon,3,false
31,Gram,1,true
31,Tablespoon,8,false
31,Teaspoon,3,false
32,Gram,1,false
32,Cup,157,true
33,Gram,1,false
33,Cup,157,true
34,Gram,1,false
34,Cup,140,true
35,Gram,1,false
35,Cup,140,true
36,Gram,1,false
36,Cup,182,true
37,Gram,1,false
37,Cup,200,true
38,Gram,1,false
38,Piece,15,true
39,Gram,1,false
39,Piece,15,true
40,Gram,1,false
40,Piece,20,true
41,Gram,1,false
41,Piece,14,true
42,Gram,1,false
42,Piece,8,true
43,Gram,1,false
43,Piece,8,true
44,Gram,1,false
44,Piece,8,true
45,Gram,1,false
45,Piece,8,true
46,Gram,1,false
46,Piece,8,true
47,Gram,1,false
47,Piece,20,true
48,Gram,1,false
48,Piece,20,true
49,Gram,1,false
49,Piece,90,true
50,Gram,1,false
50,Piece,90,true
51,Gram,1,false
51,Piece,30,true
52,Gram,1,false
52,Piece,60,true
53,Gram,1,false
53,Piece,90,true
54,Gram,1,false
54,Piece,90,true
55,Gram,1,false
55,Piece,90,true
56,Gram,1,true
56,Tablespoon,7,false
56,Teaspoon,2,false
57,Gram,1,false
57,Piece,30,true
58,Gram,1,false
58,Piece,60,true
59,Gram,1,false
59,Piece,60,true
60,Gram,1,false
60,Piece,90,true
61,Gram,1,false
61,Piece,100,true
62,Gram,1,false
62,Piece,25,true
63,Gram,1,false
63,Piece,25,true
64,Gram,1,false
64,Piece,10,true
65,Gram,1,false
65,Piece,10,true
66,Gram,1,false
66,Piece,50,true
67,Gram,1,false
67,Piece,80,true
68,Gram,1,false
68,Piece,60,true
69,Gram,1,false
69,Piece,70,true
70,Gram,1,true
71,Gram,1,true
72,Gram,1,false
72,Piece,100,true
73,Gram,1,false
73,Cup,150,true
74,Gram,1,false
74,Piece,150,true
75,Gram,1,true
76,Gram,1,false
76,Cup,75,true
77,Gram,1,false
77,Cup,210,true
78,Gram,1,false
78,Cup,220,true
79,Gram,1,false
79,Piece,130,true
80,Gram,1,false
80,Cup,172,true
81,Gram,1,false
81,Cup,180,true
82,Gram,1,false
82,Cup,254,true
83,Gram,1,false
83,Cup,184,true
84,Gram,1,false
84,Cup,184,true
85,Gram,1,false
85,Cup,177,true
86,Gram,1,false
86,Cup,220,true
87,Gram,1,false
87,Cup,208,true
88,Gram,1,false
88,Cup,197,true
89,Gram,1,false
89,Cup,164,true
90,Gram,1,false
90,Cup,200,true
91,Gram,1,false
91,Cup,171,true
92,Gram,1,false
92,Cup,171,true
93,Gram,1,true
93,Tablespoon,8,false
93,Teaspoon,3,false
94,Gram,1,false
94,Cup,192,true
95,Gram,1,false
95,Cup,198,true
96,Gram,1,false
96,Cup,200,true
97,Gram,1,false
97,Cup,200,true
98,Gram,1,false
98,Cup,190,true
99,Gram,1,false
99,Cup,170,true
100,Gram,1,false
100,Cup,196,true
101,Gram,1,false
101,Cup,186,true
102,Gram,1,true
102,Tablespoon,6,false
102,Teaspoon,2,false
103,Gram,1,true
104,Gram,1,true
105,Gram,1,true
106,Gram,1,true
107,Gram,1,true
108,Gram,1,true
109,Gram,1,true
110,Gram,1,true
110,Tablespoon,9,false
110,Teaspoon,3,false
111,Gram,1,true
111,Tablespoon,15,false
111,Teaspoon,5,false
112,Gram,1,true
113,Gram,1,true
114,Gram,1,false
114,Piece,128,true
115,Gram,1,true
116,Gram,1,false
116,Cup,170,true
117,Gram,1,false
117,Cup,100,true
118,Gram,1,false
118,Cup,125,true
119,Gram,1,false
119,Piece,82,true
120,Gram,1,false
120,Cup,91,true
121,Gram,1,false
121,Cup,88,true
122,Gram,1,false
122,Cup,70,true
123,Gram,1,false
123,Cup,70,true
124,Gram,1,false
124,Piece,61,true
125,Gram,1,false
125,Cup,100,true
126,Gram,1,false
126,Cup,124,true
127,Gram,1,false
127,Cup,200,true
128,Gram,1,false
128,Piece,40,true
129,Gram,1,false
129,Cup,36,true
130,Gram,1,false
130,Cup,155,true
131,Gram,1,false
131,Cup,30,true
132,Gram,1,true
133,Gram,1,false
133,Cup,160,true
134,Gram,1,false
134,Piece,300,true
135,Gram,1,false
135,Piece,65,true
136,Gram,1,true
137,Gram,1,false
137,Piece,82,true
138,Gram,1,false
138,Piece,82,true
139,Gram,1,false
139,Cup,99,true
140,Gram,1,false
140,Cup,120,true
141,Gram,1,false
141,Piece,234,true
142,Gram,1,true
143,Gram,1,false
143,Cup,20,true
144,Gram,1,false
144,Piece,40,true
145,Gram,1,false
145,Piece,3,true
146,Gram,1,false
146,Piece,3,true
147,Gram,1,false
147,Cup,56,true
148,Gram,1,false
148,Piece,89,true
149,Gram,1,false
149,Cup,72,true
150,Gram,1,false
150,Piece,15,true
151,Gram,1,false
151,Cup,56,true
152,Gram,1,true
153,Gram,1,false
153,Cup,70,true
154,Gram,1,false
154,Cup,156,true
155,Gram,1,false
155,Cup,100,true
156,Gram,1,false
156,Cup,160,true
157,Gram,1,false
157,Piece,4,true
158,Gram,1,false
158,Piece,4,true
159,Gram,1,false
159,Piece,15,true
160,Gram,1,false
160,Piece,110,true
161,Gram,1,false
161,Piece,15,true
162,Gram,1,true
163,Gram,1,false
163,Cup,145,true
164,Gram,1,false
164,Cup,160,true
165,Gram,1,false
165,Piece,120,true
166,Gram,1,false
166,Piece,120,true
167,Gram,1,false
167,Cup,116,true
168,Gram,1,false
168,Cup,43,true
169,Gram,1,false
169,Piece,4.5,true
170,Gram,1,false
170,Piece,100,true
171,Gram,1,true
172,Gram,1,false
172,Cup,30,true
173,Gram,1,false
173,Cup,180,true
174,Gram,1,false
174,Piece,196,true
175,Gram,1,false
175,Cup,180,true
176,Gram,1,false
176,Piece,123,true
177,Gram,1,true
177,Tablespoon,17,false
177,Teaspoon,6,false
178,Gram,1,true
179,Gram,1,false
179,Piece,85,true
180,Gram,1,true
181,Gram,1,false
181,Piece,180,true
182,Gram,1,false
182,Piece,35,true
183,Gram,1,false
183,Piece,8,true
184,Gram,1,false
184,Piece,200,true
185,Gram,1,false
185,Piece,120,true
186,Gram,1,false
186,Cup,160,true
187,Gram,1,false
187,Piece,200,true
188,Gram,1,false
188,Piece,8,true
189,Gram,1,false
189,Piece,8,true
190,Gram,1,false
190,Piece,50,true
191,Gram,1,false
191,Piece,8,true
192,Gram,1,false
192,Piece,230,true
193,Gram,1,false
193,Cup,151,true
194,Gram,1,false
194,Piece,55,true
195,Gram,1,false
195,Piece,5,true
196,Gram,1,false
196,Piece,10,true
197,Gram,1,false
197,Piece,75,true
198,Gram,1,false
198,Piece,60,true
199,Gram,1,false
199,Piece,70,true
200,Gram,1,false
200,Piece,45,true
201,Gram,1,false
201,Piece,15,true
202,Gram,1,false
202,Piece,75,true
203,Gram,1,false
203,Piece,200,true
204,Gram,1,false
204,Cup,160,true
205,Gram,1,false
205,Cup,140,true
206,Gram,1,false
206,Piece,150,true
207,Gram,1,false
207,Piece,300,true
208,Gram,1,false
208,Piece,150,true
209,Gram,1,false
209,Piece,180,true
210,Gram,1,false
210,Piece,170,true
211,Gram,1,false
211,Cup,165,true
212,Gram,1,false
212,Piece,66,true
213,Gram,1,false
213,Piece,282,true
214,Gram,1,false
214,Piece,100,true
215,Gram,1,false
215,Piece,10,true
216,Gram,1,false
216,Cup,145,true
217,Gram,1,false
217,Cup,123,true
218,Gram,1,false
218,Cup,152,true
219,Gram,1,false
219,Piece,20,true
220,Gram,1,false
220,Cup,152,true
221,Gram,1,false
221,Piece,6,true
222,Gram,1,false
222,Piece,10,true
223,Gram,1,false
223,Piece,20,true
224,Gram,1,false
224,Piece,1.2,true
225,Gram,1,false
225,Piece,20,true
226,Gram,1,false
226,Piece,15,true
227,Gram,1,false
227,Piece,25,true
228,Gram,1,false
228,Piece,20,true
229,Gram,1,false
229,Piece,7,true
230,Gram,1,false
230,Piece,3,true
231,Gram,1,true
232,Gram,1,true
233,Gram,1,false
233,Piece,15,true
234,Gram,1,true
235,Gram,1,true
235,Tablespoon,20,false
235,Teaspoon,7,false
236,Gram,1,true
237,Gram,1,true
238,Gram,1,true
238,Tablespoon,21,false
238,Teaspoon,7,false
239,Gram,1,true
239,Tablespoon,20,false
239,Teaspoon,7,false
240,Gram,1,true
240,Tablespoon,8,false
240,Teaspoon,3,false
241,Gram,1,true
241,Tablespoon,20,false
241,Teaspoon,7,false
242,Gram,1,true
242,Tablespoon,12,false
242,Teaspoon,4,false
243,Gram,1,true
243,Tablespoon,12,false
243,Teaspoon,4,false
244,Gram,1,true
244,Tablespoon,12,false
244,Teaspoon,4,false
245,Gram,1,true
245,Tablespoon,20,false
245,Teaspoon,7,false
246,Gram,1,true
247,Gram,1,true
248,Gram,1,true
249,Gram,1,true
250,Gram,1,false
250,Piece,90,true
251,Gram,1,false
251,Piece,90,true
252,Gram,1,false
252,Piece,45,true
253,Gram,1,true
254,Gram,1,true
255,Gram,1,true
256,Gram,1,true
257,Gram,1,true
258,Gram,1,true
259,Gram,1,false
259,Piece,25,true
260,Gram,1,true
261,Gram,1,true
262,Gram,1,true
263,Gram,1,false
263,Piece,50,true
264,Gram,1,true
265,Gram,1,true
266,Gram,1,false
266,Piece,50,true
267,Gram,1,false
267,Piece,50,true
268,Gram,1,true
269,Gram,1,true
270,Gram,1,true
271,Gram,1,true
272,Gram,1,true
273,Gram,1,true
274,Gram,1,false
274,Piece,45,true
275,Gram,1,true
276,Gram,1,true
277,Gram,1,false
277,Piece,25,true
278,Gram,1,true
279,Gram,1,true
280,Gram,1,true
281,Gram,1,true
282,Gram,1,true
283,Gram,1,true
284,Gram,1,true
285,Gram,1,true
286,Gram,1,true
287,Gram,1,true
288,Gram,1,true
289,Gram,1,true
290,Gram,1,false
290,Piece,250,true
291,Gram,1,true
292,Gram,1,true
293,Gram,1,false
293,Piece,45,true
294,Gram,1,false
294,Piece,25,true
295,Gram,1,true
296,Gram,1,true
297,Gram,1,false
297,Piece,55,true
298,Gram,1,false
298,Piece,33,true
299,Gram,1,false
299,Piece,17,true
300,Gram,1,false
300,Piece,70,true
301,Gram,1,true
302,Gram,1,true
303,Gram,1,true
304,Gram,1,true
305,Gram,1,true
306,Gram,1,true
307,Gram,1,false
307,Piece,150,true
308,Gram,1,true
309,Gram,1,false
309,Piece,25,true
310,Gram,1,true
311,Gram,1,true
312,Gram,1,true
313,Gram,1,true
314,Gram,1,true
315,Gram,1,true
316,Gram,1,true
317,Gram,1,false
317,Piece,25,true
318,Gram,1,false
318,Piece,25,true
319,Gram,1,false
319,Piece,25,true
320,Gram,1,false
320,Piece,25,true
321,Gram,1,false
321,Piece,8,true
322,Gram,1,false
322,Piece,8,true
323,Gram,1,true
324,Gram,1,true
325,Gram,1,true
326,Gram,1,true
327,Gram,1,true
328,Gram,1,true
329,Gram,1,true
329,Tablespoon,14,false
329,Teaspoon,5,false
330,Gram,1,false
330,Milliliter,0.91,true
331,Gram,1,true
332,Gram,1,true
333,Gram,1,true
334,Gram,1,true
335,Gram,1,true
336,Gram,1,true
337,Gram,1,true
338,Gram,1,true
338,Tablespoon,5,false
338,Teaspoon,2,false
339,Gram,1,false
339,Piece,20,true
340,Gram,1,true
340,Tablespoon,15,false
340,Teaspoon,5,false
341,Gram,1,true
342,Gram,1,true
343,Gram,1,true
344,Gram,1,false
344,Milliliter,1,true
345,Gram,1,false
345,Milliliter,1,true
346,Gram,1,false
346,Milliliter,1,true
347,Gram,1,false
347,Milliliter,1,true
348,Gram,1,false
348,Milliliter,1,true
349,Gram,1,false
349,Milliliter,1,true
350,Gram,1,false
350,Milliliter,1,true
351,Gram,1,false
351,Milliliter,1,true
352,Gram,1,false
352,Milliliter,1,true
353,Gram,1,false
353,Milliliter,1,true
354,Gram,1,true
354,Tablespoon,8,false
354,Teaspoon,3,false
355,Gram,1,true
355,Tablespoon,8,false
355,Teaspoon,3,false
356,Gram,1,false
356,Cup,245,true
357,Gram,1,false
357,Cup,245,true
358,Gram,1,false
358,Cup,245,true
359,Gram,1,false
359,Milliliter,1,true
360,Gram,1,false
360,Milliliter,1,true
361,Gram,1,false
361,Milliliter,1,true
362,Gram,1,false
362,Milliliter,1,true
363,Gram,1,false
363,Milliliter,1,true
364,Gram,1,true
364,Tablespoon,8,false
364,Teaspoon,3,false
365,Gram,1,true
365,Tablespoon,6,false
365,Teaspoon,2,false
366,Gram,1,true
366,Tablespoon,8,false
366,Teaspoon,3,false
367,Gram,1,true
367,Tablespoon,6,false
367,Teaspoon,2,false
